segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
1982,"CGE SEAL 30M STH CHELLOWDENE AVENUE, STANWELL PARK N/B",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2260195,150.9860723,4384840.5397,9666889.6725
1983,THUNDERBOLTS CAVE,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.322387994736843,151.68491821578945,4814352.873678948,9750568.58675263
1986,NORDEN,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.3178954,151.68966285,4814830.1171,9751046.94135
1988,HILLCREST,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.317083,151.6898799,4814919.1818,9751071.8461
1990,STH OF KILGOWLAH CK,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-33.642693768965515,149.24813873448275,4452217.908131034,9513118.452189656
1995,CRESCENT HEAD ROAD SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.0948182,152.852821875,4723184.201850001,9857989.34945
2000,TO START CONCRETE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-34.4046328275,148.828321895,4369189.5982375005,9471086.261085
2005,PINE TREES,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.289371216666666,151.68962569444446,4817990.3664666675,9751185.328272222
2010,ROCKY CUT,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-33.80889826804123,149.28979813092784,4434011.351304124,9515846.835774226
2011,"WALKER STREET, HELENSBU",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2118218,150.9758876,4386448.7503,9666012.5752
2012,"CGE SEAL 380M NORTH OF WALKER STREET, HELENSBURGH N/B",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2057034,150.9713867,4387142.1613,9665624.2059
2015,URANDANGIE ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.53661415,151.70836066666666,4790481.911372222,9751866.482755555
2020,CHANGE OF SEAL,HARTLEY-JENOLAN CAVES-BATHURST,LITHGOW,West,Central West M3Ed3,-33.76633271746032,149.2496196888889,4438774.291046032,9512370.521444444
2023,"O/T LANE 3.6KM WEST OF SH1 PRINCES HWY, BOMADERRY",BOMADERRY-MOSS VALE,SHOALHAVEN,South,Bomaderry M3Ed3,-34.81543057647059,150.57153807058822,4320920.379182353,9626517.092876472
2025,4 POLES SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.814499419999997,152.42295018,4645295.26406,9814356.465780001
2030,MCKANES FALLS ROAD(RHS),HARTLEY-JENOLAN CAVES-BATHURST,LITHGOW,West,Central West M3Ed3,-33.38506762142857,149.61378567571427,4480439.993875715,9546953.131632857
2035,SOUTH GUYRA,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.2443578,151.6696383,4823063.5555,9749486.7167
2040,"RUN-O-WATERS CREEK (ABUT 2), SOUTH GOULBURN SBC",HUME HIGHWAY,GOULBURN MULWAREE,South,HMO North M3Ed3,-34.858822485185186,148.72131644814814,4319632.596971605,9458440.114301234
2046,O'DONNELL AVENUE GUYRA,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.21275775,151.67385430000002,4826546.4776,9750049.01325
2047,20M EAST OF CAMBEWARRA LOOKOUT ROAD,BOMADERRY-MOSS VALE,SHOALHAVEN,South,Bomaderry M3Ed3,-34.7871409,150.5585437,4324095.6314,9625436.40825
2050,CHANGE OF SEAL,HARTLEY-JENOLAN CAVES-BATHURST,LITHGOW,West,Central West M3Ed3,-34.67826841,149.25410583000001,4338670.80834,9507392.499206001
2051,FALCONER ROAD GUYRA,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.2039311125,151.67550075,4827517.32895,9750251.2442625
2055,GUYRA MEATWORKS,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.474373522222223,152.0801726,4795610.9445555555,9787486.805155555
2060,LOWTHER SIGN RHS,HARTLEY-JENOLAN CAVES-BATHURST,LITHGOW,West,Central West M3Ed3,-34.68005555050505,148.93077372929292,4338846.909046465,9478357.359586868
2062,FOUR R JAY,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.178978866666668,151.6828193,4830250.365866667,9751079.564533332
2064,FREDERICKTON INTERCHANG NB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.0302369,152.8839604,4730164.6719,9861357.849
2065,MILPARINKA,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.171056420000003,151.68562988,4831116.01166,9751389.51106
2070,START CHAIN WIRE FENCE,HARTLEY-JENOLAN CAVES-BATHURST,LITHGOW,West,Central West M3Ed3,-34.599304911627904,149.14092596511628,4347319.918660466,9497993.774355814
2072,CRYSTALBROOK ROAD NORTH,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.15110608333333,151.68311595,4833337.33765,9751246.658333333
2075,ELM GROVE,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.26426307142857,151.85448037857142,4819977.420828572,9767022.929757144
